id_police,age_conducteur,genre,ville,categorie_socioprofessionnelle,anciennete_permis_ans,marque_vehicule,age_vehicule_ans,puissance_fiscale_cv,usage_vehicule,km_annuels_estimes,formule_assurance,coefficient_bonus_malus,nb_sinistres_anterieurs,prime_annuelle_ttc_mad,sinistre_declare,montant_sinistre_mad
POL-00001,56,Homme,Marrakech,Commercant,38.0,Renault,100.0,7.0,Personnel,5000.0,Tiers_Etendu,0.9,0,1122.42,0,3966.26
POL-00002,69,Homme,Marrakech,Employe,49.0,Peugeot,11.0,9.0,Personnel,15000.0,Tous_Risques,0.86,0,1336.43,0,3408.77
POL-00003,46,Homme,Oujda,Commercant,27.0,Dacia,16.0,6.0,Domicile_Travail,10000.0,Tiers_Etendu,0.69,1,961.01,0,1818.41
POL-00004,32,Homme,Casablanca,Commercant,11.0,Peugeot,13.0,10.0,Personnel,10000.0,Tous_Risques,0.78,0,1345.39,0,2724.79
POL-00005,60,Homme,Fes,Cadre,,Dacia,15.0,6.0,Personnel,25000.0,Tous_Risques,1.02,0,1338.04,0,688.71
POL-00006,25,Homme,Rabat,Independant,7.0,Peugeot,13.0,6.0,Personnel,5000.0,RC,0.88,0,936.19,0,1366.01
POL-00007,38,Homme,Rabat,Employe,16.0,Renault,8.0,9.0,Domicile_Travail,20000.0,RC,0.96,0,995.8,0,2410.23
POL-00008,56,Homme,Tanger,Independant,34.0,Volkswagen,3.0,7.0,Personnel,15000.0,RC,1.1,0,800.0,0,4253.2
POL-00009,36,Homme,Fes,Etudiant,43.0,Volkswagen,10.0,8.0,Domicile_Travail,15000.0,RC,0.94,0,929.15,0,2658.5
POL-00010,40,Homme,Oujda,Independant,22.0,Dacia,5.0,7.0,Domicile_Travail,20000.0,Tiers_Etendu,0.5,1,806.64,0,3138.63
POL-00011,28,Homme, Tanger,Commercant,6.0,Renault,14.0,8.0,Domicile_Travail,15000.0,Tous_Risques,0.9,0,1334.55,1,9999999.0
POL-00012,28,Homme,Casablanca,Commercant,8.0,Renault,4.0,6.0,Professionnel,15000.0,Tous_Risques,0.73,0,1263.44,0,4431.89
POL-00013,41,Femme,Tanger,Cadre,19.0,Dacia,10.0,5.0,Professionnel,25000.0,RC,1.21,0,1166.32,0,1889.69
